company_id;sub_category_id;keyword;is_regex;case_sensitive;match_type;pattern_description;min_amount;max_amount;valid_days;valid_months;priority;is_active;match_count;last_matched_at;auto_learned;learning_source;effectiveness_score;false_positive_count;true_positive_count;last_reviewed_at;reviewed_by
1;109;transfer_internal_bca;0;0;contains;Generic fallback for Transfer Internal BCA;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;92;JASA PRAKTEK SPESIALIS.*KALIMALANG;1;0;regex;Doctor fee;NULL;NULL;NULL;NULL;10;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;92;JASA PRAKTEK SPESIALIS KF KALIMALANG;0;0;contains;Full doctor fee;NULL;NULL;NULL;NULL;10;1;49;16/10/2025 10.56;0;manual;50;0;0;NULL;NULL
1;208;ppn_keluaran_penjualan;0;0;contains;Generic fallback for PPN Keluaran Penjualan;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;206;pph_23_jasa_profesional;0;0;contains;Generic fallback for PPh 23 Jasa Profesional;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;205;klaim_bpjs_rawat_inap;0;0;contains;Generic fallback for Klaim BPJS Rawat Inap;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;97;KIMIA FARMA APOTEK;0;0;contains;KF Apotek;NULL;NULL;NULL;NULL;10;1;4272;16/10/2025 10.56;0;manual;50;0;0;NULL;NULL
1;97;DARI KIMIA FARMA;0;0;contains;From KF;NULL;NULL;NULL;NULL;10;1;795;16/10/2025 10.56;0;manual;50;0;0;NULL;NULL
1;97;KE KIMIA FARMA;0;0;contains;To KF;NULL;NULL;NULL;NULL;10;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;98;kimia_farma_distribusi;0;0;contains;Generic fallback for Kimia Farma Distribusi;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;204;klaim_bpjs_rawat_jalan;0;0;contains;Generic fallback for Klaim BPJS Rawat Jalan;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;202;transfer_dari_outlet_setoran;0;0;contains;Generic fallback for Transfer dari Outlet Setoran;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;201;pemindahan_antar_rekening;0;0;contains;Generic fallback for Pemindahan Antar Rekening;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;194;pbf_utama;0;0;contains;Generic fallback for PBF Utama;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;192;jasa_praktik_dokter_umum_klinik;0;0;contains;Generic fallback for Jasa Praktik Dokter Umum Klinik;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;90;thr_lebaran;0;0;contains;Generic fallback for THR Lebaran;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;213;liph_resep_narogong;0;0;contains;Generic fallback for LIPH Resep Narogong;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;214;liph_resep_cikarang;0;0;contains;Generic fallback for LIPH Resep Cikarang;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;244;peralatan_diagnostik;0;0;contains;Generic fallback for Peralatan Diagnostik;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;241;alat_medis;0;0;contains;Generic fallback for Alat Medis;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;66;PERUSAHAAN LISTRIK NEGARA;0;0;contains;PLN full name;NULL;NULL;NULL;NULL;10;1;86;16/10/2025 10.56;0;manual;50;0;0;NULL;NULL
1;66;LISTRIK NEGARA;0;0;contains;PLN short;NULL;NULL;NULL;NULL;9;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;240;maintenance_peralatan_medis;0;0;contains;Generic fallback for Maintenance Peralatan Medis;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;236;internet_corporate;0;0;contains;Generic fallback for Internet Corporate;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
1;74;obat_generic_dari_kimia_farma;0;0;contains;Generic fallback for Obat Generic dari Kimia Farma;NULL;NULL;NULL;NULL;5;1;0;NULL;0;manual;50;0;0;NULL;NULL
